datamodelKey,kind,s3.folderName,s3.fileName,s3.collectionName,s3.displayName,s4.folderName,s4.fileName,s4.collectionName,s4.displayName
Address,component,location,address,components_location_addresses,Address,location,address,components_location_addresses,Address
ArticleMedia,component,article,article-media,components_article_article_medias,ArticleMedia,article,article-media,components_article_article_medias,ArticleMedia
Banner,component,frontpage,banner,components_frontpage_banners,Banner,frontpage,banner,components_frontpage_banners,Banner
BrunoSubMenuItem,component,menu,bruno-sub-menu-item,components_menu_bruno_items,BrunoSubMenuItem,menu,bruno-sub-menu-item,components_menu_bruno_items,BrunoSubMenuItem
Button,component,button,button,components_button_buttons,Button,button,button,components_button_buttons,Button
Conditions,component,user,function-conditions,components_user_function_conditions,Conditions,user,function-conditions,components_user_function_conditions,Conditions
CourseModule,component,course,course-module,components_course_course_modules,CourseModule,course,course-module,components_course_course_modules,CourseModule
CourseTags,component,tags,course-tags,components_tags_course_tags,CourseTags,tags,course-tags,components_tags_course_tags,CourseTags
DeliveryPrice,component,ticketing,delivery-price,components_ticketing_delivery_prices,DeliveryPrice,ticketing,delivery-price,components_ticketing_delivery_prices,DeliveryPrice
DisCampSubMenuItem,component,menu,dis-camp-sub-menu-item,components_menu_dis_camp_items,DisCampSubMenuItem,menu,dis-camp-sub-menu-item,components_menu_dis_camp_items,DisCampSubMenuItem
FilmikooliSubMenuItem,component,menu,filmikooli-sub-menu-item,components_menu_filmikooli_items,FilmikooliSubMenuItem,menu,filmikooli-sub-menu-item,components_menu_filmikooli_items,FilmikooliSubMenuItem
FunctionParameters,component,user,function-parameters,components_user_function_parameters,FunctionParameters,user,function-parameters,components_user_function_parameters,FunctionParameters
IndustrySubMenuItem,component,menu,industry-sub-menu-item,components_menu_industry_items,IndustrySubMenuItem,menu,industry-sub-menu-item,components_menu_industry_items,IndustrySubMenuItem
Intro_Conversation_QandA,component,screening,intro-conversation-qand-a,components_screening_intro_conversation_qand_as,Intro_Conversation_QandA,screening,intro-conversation-qand-a,components_screening_intro_conversation_qand_as,Intro_Conversation_QandA
JustFilmiSubMenuItem,component,menu,just-filmi-sub-menu-item,components_menu_just_filmi_items,JustFilmiSubMenuItem,menu,just-filmi-sub-menu-item,components_menu_just_filmi_items,JustFilmiSubMenuItem
KinoffiSubMenuItem,component,menu,kinoffi-sub-menu-item,components_menu_kinoffi_items,KinoffiSubMenuItem,menu,kinoffi-sub-menu-item,components_menu_kinoffi_items,KinoffiSubMenuItem
KumuSubMenuItem,component,menu,kumu-sub-menu-item,components_menu_kumu_items,KumuSubMenuItem,menu,kumu-sub-menu-item,components_menu_kumu_items,KumuSubMenuItem
L2MenuIndustry,component,menu,l2-menu-industry,components_menu_l2_menu_industries,L2MenuIndustry,menu,l2-menu-industry,components_menu_l2_menu_industries,L2MenuIndustry
L2MenuKumu,component,menu,l2-menu-kumu,components_menu_l2_menu_kumus,L2MenuKumu,menu,l2-menu-kumu,components_menu_l2_menu_kumus,L2MenuKumu
