datamodelKey,s3.folderName,s3.apiPath,s3.collectionName,s3.infoName,s4.apiPath,s4.collectionName,s4.info.singularName,s4.info.pluralName,s4.info.displayName
Address,address,/addresses,addresses,address,/api/addresses,addresses,address,addresses,Address
ArticleType,article-type,/article-types,article_types,ArticleType,/api/article-types,article_types,article-type,article-types,Article Type
Award,industry-award,/industry-awards,industry_awards,Award,/api/industry-awards,industry_awards,industry-award,industry-awards,Award
Awarding,awarding,/awardings,awardings,Awarding,/api/awardings,awardings,awarding,awardings,Awarding
BannerGroup,banner,/banners,banners,BannerGroup,/api/banners,banners,banner,banners,Banner Group
BrunoArticle,bruno-article,/bruno-articles,bruno_articles,Bruno_Article,/api/bruno-articles,bruno_articles,bruno-article,bruno-articles,Bruno Article
BrunoFooter,bruno-footer,/bruno-footers,bruno_footers,Bruno_Footer,/api/bruno-footers,bruno_footers,bruno-footer,bruno-footers,Bruno Footer
BrunoMenu,bruno-menu,/bruno-menus,bruno_menus,Bruno_Menu,/api/bruno-menus,bruno_menus,bruno-menu,bruno-menus,Bruno Menu
BrunoSupporter,bruno-supporter,/bruno-supporters,bruno_supporters,Bruno_Supporter,/api/bruno-supporters,bruno_supporters,bruno-supporter,bruno-supporters,Bruno Supporter
BusinessProfile,business-profile,/business-profiles,business_profiles,BusinessProfile,/api/business-profiles,business_profiles,business-profile,business-profiles,Business Profile
Cassette,cassette,/cassettes,cassettes,Cassette,/api/cassettes,cassettes,cassette,cassettes,Cassette
Channel,channel,/channels,channels,Channel,/api/channels,channels,channel,channels,Channel
Cinema,cinema,/cinemas,cinemas,Cinema,/api/cinemas,cinemas,cinema,cinemas,Cinema
Country,country,/countries,countries,Country,/api/countries,countries,country,countries,Country
County,county,/counties,counties,County,/api/counties,counties,county,counties,County
Course,course,/courses,courses,Course,/api/courses,courses,course,courses,Course
CourseEvent,course-event,/course-events,course_events,CourseEvent,/api/course-events,course_events,course-event,course-events,Course Event
Delivery,delivery,/deliveries,deliveries,Delivery,/api/deliveries,deliveries,delivery,deliveries,Delivery
DeliveryType,delivery-type,/delivery-types,delivery_types,DeliveryType,/api/delivery-types,delivery_types,delivery-type,delivery-types,Delivery Type
DisCampArticle,dis-camp-article,/dis-camp-articles,dis_camp_articles,DisCampArticle,/api/discamp-articles,discamp_articles,discamp-article,discamp-articles,DisCamp Article
DisCampCategory,dis-camp-category,/dis-camp-categories,dis_camp_categories,DisCampCategory,/api/discamp-categories,discamp_categories,discamp-category,discamp-categories,DisCamp Category
DisCampEvent,dis-camp-event,/dis-camp-events,dis_camp_events,DisCampEvent,/api/discamp-events,discamp_events,discamp-event,discamp-events,DisCamp Event
DisCampFooter,dis-camp-footer,/dis-camp-footers,dis_camp_footers,DisCampFooter,/api/discamp-footers,discamp_footers,discamp-footer,discamp-footers,DisCamp Footer
DisCampGroup,dis-camp-group,/dis-camp-groups,dis_camp_groups,DisCampGroup,/api/discamp-groups,discamp_groups,discamp-group,discamp-groups,DisCamp Group
DisCampMenu,dis-camp-menu,/dis-camp-menus,dis_camp_menus,DisCampMenu,/api/discamp-menus,discamp_menus,discamp-menu,discamp-menus,DisCamp Menu
DisCampPerson,dis-camp-person,/dis-camp-people,dis_camp_people,DisCampPerson,/api/discamp-persons,discamp_people,discamp-person,discamp-persons,DisCamp Person
DisCampPersonType,dis-camp-person-type,/dis-camp-person-types,dis_camp_person_types,DisCampPersonType,/api/discamp-person-types,discamp_person_types,discamp-person-type,discamp-person-types,DisCamp Person Type
DisCampProject,dis-camp-project,/dis-camp-projects,dis_camp_projects,DisCampProject,/api/discamp-projects,discamp_projects,discamp-project,discamp-projects,DisCamp Project
DisCampSupporter,dis-camp-supporter,/dis-camp-supporters,dis_camp_supporters,DisCampSupporter,/api/discamp-supporters,discamp_supporters,discamp-supporter,discamp-supporters,DisCamp Supporter
Domain,domain,/domains,Domeen,Domain,/api/domains,domains,domain,domains,Domain
DumbFolder,dumb-folder,/dumb-folders,dumb_folders,DumbFolder,/api/dumb-folders,dumb_folders,dumb-folder,dumb-folders,Dumb Folder
Event,event,/events,events,Event,/api/events,events,event,events,Event
EventAccess,event-access,/event-accesses,event_accesses,EventAccess,/api/event-accesses,event_accesses,event-access,event-accesses,Event Access
EventMode,event-mode,/event-modes,event_modes,EventMode,/api/event-modes,event_modes,event-mode,event-modes,Event Mode
EventType,event-type,/event-types,event_types,EventType,/api/event-types,event_types,event-type,event-types,Event Type
EyeColour,eye-colour,/eye-colours,eye_colours,EyeColour,/api/eye-colours,eye_colours,eye-colour,eye-colours,Eye Colour
Festival,festival,/festivals,FestivalCollectionName,Festival,/api/festivals,festivals,festival,festivals,Festival
FestivalEdition,festival-edition,/festival-editions,Edition,FestivalEdition,/api/festival-editions,festival_editions,festival-edition,festival-editions,Festival Edition
Film,film,/films,films,Film,/api/films,films,film,films,Film
FilmikooliArticle,filmikooli-article,/filmikooli-articles,filmikooli_articles,Filmikooli_Article,/api/filmikool-articles,filmikool_articles,filmikool-article,filmikool-articles,Filmikool Article
FilmikooliFooter,filmikooli-footer,/filmikooli-footers,filmikooli_footers,Filmikooli_Footer,/api/filmikool-footers,filmikool_footers,filmikool-footer,filmikool-footers,Filmikool Footer
FilmikooliMenu,filmikooli-menu,/filmikooli-menus,filmikooli_menus,Filmikooli_Menu,/api/filmikool-menus,filmikool_menus,filmikool-menu,filmikool-menus,Filmikool Menu
FilmikooliSupporter,filmikool-supporter,/filmikool-supporters,filmikool_supporters,Filmikooli_Supporter,/api/filmikool-supporters,filmikool_supporters,filmikool-supporter,filmikool-supporters,Filmikool Supporter
Filmography,filmography,/filmographies,filmographies,Filmography,/api/filmographies,filmographies,filmography,filmographies,Filmography
FrontPageCourses,front-page-courses,/front-page-courses,front_page_courses,Front_Page_Courses,/api/front-page-courseses,front_page_courses,front-page-courses,front-page-courseses,FrontPage Courses
Function,function,/functions,functions,UserFunction,/api/functions,functions,function,functions,Function
Gender,gender,/genders,genders,Gender,/api/genders,genders,gender,genders,Gender
HOFFiArticle,hof-fi-article,/hof-fi-articles,hof_fi_articles,HOFFi_Article,/api/hoff-articles,hoff_articles,hoff-article,hoff-articles,HOFF Article
HOFFiFooter,hof-fi-footer,/hof-fi-footers,hof_fi_footers,HOFFi_Footer,/api/hoff-footers,hoff_footers,hoff-footer,hoff-footers,HOFF Footer
HOFFiMenu,hof-fi-menu,/hof-fi-menus,hof_fi_menus,HOFFi_Menu,/api/hoff-menus,hoff_menus,hoff-menu,hoff-menus,HOFF Menu
HOFFiSupporter,hof-fi-supporter,/hof-fi-supporters,hof_fi_supporters,HOFFi_Supporter,/api/hoff-supporters,hoff_supporters,hoff-supporter,hoff-supporters,HOFF Supporter
HairColour,hair-colour,/hair-colours,hair_colours,HairColour,/api/hair-colours,hair_colours,hair-colour,hair-colours,Hair Colour
HairLength,hair-length,/hair-lengths,hair_lengths,HairLength,/api/hair-lengths,hair_lengths,hair-length,hair-lengths,Hair Length
Hall,hall,/halls,halls,Hall,/api/halls,halls,hall,halls,Hall
HeroArticleBruno,hero-article-bruno,/hero-article-bruno,hero_article_bruno,HeroArticleBruno,/api/bruno-heroarticles,bruno_heroarticles,bruno-heroarticle,bruno-heroarticles,Bruno HeroArticle
HeroArticleDisCamp,hero-article-dis-camp,/hero-article-dis-camp,hero_article_dis_camps,HeroArticleDisCamp,/api/discamp-heroarticles,discamp_heroarticles,discamp-heroarticle,discamp-heroarticles,DisCamp HeroArticle
HeroArticleFilmikool,hero-article-filmikool,/hero-article-filmikool,hero_article_filmikools,HeroArticleFilmikool,/api/filmikool-heroarticles,filmikool_heroarticles,filmikool-heroarticle,filmikool-heroarticles,Filmikool HeroArticle
HeroArticleHoff,hero-article-hoff,/hero-article-hoff,hero_article_hoffs,HeroArticleHoff,/api/hoff-heroarticles,hoff_heroarticles,hoff-heroarticle,hoff-heroarticles,Hoff HeroArticle
HeroArticleIndustry,hero-article-industry,/hero-article-industry,hero_article_industries,HeroArticleIndustry,/api/industry-heroarticles,industry_heroarticles,industry-heroarticle,industry-heroarticles,Industry HeroArticle
HeroArticleJustFilm,hero-article-just-film,/hero-article-just-film,hero_article_just_films,HeroArticleJustFilm,/api/justfilm-heroarticles,justfilm_heroarticles,justfilm-heroarticle,justfilm-heroarticles,JustFilm HeroArticle
HeroArticleKinoff,hero-article-kinoff,/hero-article-kinoff,hero_article_kinoffs,HeroArticleKinoff,/api/kinoff-heroarticles,kinoff_heroarticles,kinoff-heroarticle,kinoff-heroarticles,Kinoff HeroArticle
HeroArticleKumu,hero-article-kumu,/hero-article-kumu,hero_article_kumu,HeroArticleKumu,/api/kumu-heroarticles,kumu_heroarticles,kumu-heroarticle,kumu-heroarticles,Kumu HeroArticle
HeroArticlePoff,article-hero,/article-hero,article_heroes,HeroArticlePoff,/api/poff-heroarticles,poff_heroarticles,poff-heroarticle,poff-heroarticles,PÖFF HeroArticle
HeroArticleShorts,hero-article-shorts,/hero-article-shorts,hero_article_shorts,HeroArticleShorts,/api/shorts-heroarticles,shorts_heroarticles,shorts-heroarticle,shorts-heroarticles,Shorts HeroArticle
HeroArticleTartuff,hero-article-tartuff,/hero-article-tartuff,hero_article_tartuffs,HeroArticleTartuff,/api/tartuff-heroarticles,tartuff_heroarticles,tartuff-heroarticle,tartuff-heroarticles,Tartuff HeroArticle
IndustryArticle,industry-article,/industry-articles,industry_articles,Industry_Article,/api/industry-articles,industry_articles,industry-article,industry-articles,Industry Article
IndustryCategory,industry-category,/industry-categories,industry_categories,Industry_Category,/api/industry-categories,industry_categories,industry-category,industry-categories,Industry Category
IndustryEvent,industry-event,/industry-events,industry_events,Industry_Event,/api/industry-events,industry_events,industry-event,industry-events,Industry Event
IndustryFooter,industry-footer,/industry-footers,industry_footers,Industry_Footer,/api/industry-footers,industry_footers,industry-footer,industry-footers,Industry Footer
IndustryGroup,industry-group,/industry-groups,industry_groups,Industry_Group,/api/industry-groups,industry_groups,industry-group,industry-groups,IndustryGroup
IndustryMenu,industry-menu,/industry-menus,industry_menus,Industry_Menu,/api/industry-menus,industry_menus,industry-menu,industry-menus,Industry Menu
IndustryPerson,industry-person,/industry-people,industry_people,Industry_Person,/api/industry-persons,industry_people,industry-person,industry-persons,Industry Person
IndustryPersonType,industry-person-type,/industry-person-types,industry_person_types,Industry_PersonType,/api/industry-person-types,industry_person_types,industry-person-type,industry-person-types,Industry Person Type
IndustryProject,industry-project,/industry-projects,industry_projects,Industry_Project,/api/industry-projects,industry_projects,industry-project,industry-projects,Industry Project
IndustrySupporter,industry-supporter,/industry-supporters,industry_supporters,Industry_Supporter,/api/industry-supporters,industry_supporters,industry-supporter,industry-supporters,Industry Supporter
JustFilmFooter,just-film-footer,/just-film-footers,just_film_footers,JustFilm_Footer,/api/justfilm-footers,justfilm_footers,justfilm-footer,justfilm-footers,JustFilm Footer
JustFilmiArticle,just-filmi-article,/just-filmi-articles,just_filmi_articles,JustFilmi_Article,/api/justfilm-articles,justfilm_articles,justfilm-article,justfilm-articles,JustFilm Article
JustFilmiMenu,just-filmi-menu,/just-filmi-menus,just_filmi_menus,JustFilmi_Menu,/api/justfilm-menus,justfilm_menus,justfilm-menu,justfilm-menus,JustFilm Menu
